"","Player","Score","Time"
"138","Gerry Walsh",817,15
"139","Sami Carlson",472,22
"140","Erik Warsky",472,16
"141","Viky Moreux",478,15
"142","Mike Friedman",478,10
"143","Sissy Welch",478,5
"144","Mike Friedman",480,22
"145","Sandra Toble",485,11
"146","Sissy Welch",997,12
"147","Sandra Toble",492,10
"148","Olga Treischl",393,18
"149","Olga Treischl",504,20
"150","Olov Rasmussen",525,12
"151","Sissy Welch",525,8
"152","Gunnar Weimar",548,18
"153","Sandra Toble",548,24
"154","Gunnar Weimar",552,12
"155","Sissy Welch",552,18
"156","Gunnar Weimar",552,9
"157","Sami Carlson",552,11
"158","Gerry Walsh",552,10
"159","Sissy Welch",558,24
"160","Nelly Fleming",559,6
"161","Sissy Welch",560,23
"162","Viky Moreux",569,11
"163","Gunnar Weimar",576,9
"164","Sami Carlson",580,17
"165","Mike Friedman",595,23
"166","Nelly Fleming",597,18
"167","Viky Moreux",419,8
"168","Gunnar Weimar",419,17
"169","Sissy Welch",419,20
"170","Gunnar Weimar",633,10
"171","Nelly Fleming",633,15
"172","Mike Friedman",633,13
"173","Olov Rasmussen",633,22
"174","Olga Treischl",633,10
"175","Sissy Welch",633,24
"176","Erik Warsky",635,16
"177","Nelly Fleming",425,20
"178","Sissy Welch",428,25
"179","Gerry Walsh",658,21
"180","Gunnar Weimar",430,9
"181","Mike Friedman",431,17
"182","Sissy Welch",362,15
"183","Mike Friedman",678,23
"184","Erik Warsky",435,8
"185","Gunnar Weimar",436,5
"186","Olov Rasmussen",705,8
"187","Viky Moreux",705,14
"188","Gerry Walsh",445,20
"189","Sissy Welch",445,6
"190","Erik Warsky",729,5
"191","Olga Treischl",740,18
"192","Olga Treischl",449,20
"193","Sami Carlson",450,3
"194","Olov Rasmussen",367,7
"195","Nelly Fleming",452,22
"196","Olov Rasmussen",453,22
"197","Sissy Welch",814,18
"198","Gunnar Weimar",472,9
"199","Sami Carlson",472,12
"200","Gerry Walsh",472,17
"201","Sami Carlson",478,14
"202","Mike Friedman",485,12
"203","Gerry Walsh",485,11
"204","Sami Carlson",486,22
"205","Erik Warsky",391,20
"206","Erik Warsky",504,23
"207","Gerry Walsh",505,19
"208","Viky Moreux",525,8
"209","Gunnar Weimar",525,12
"210","Sissy Welch",525,11
"211","Olov Rasmussen",525,9
"212","Viky Moreux",525,9
"213","Mike Friedman",525,6
"214","Erik Warsky",526,10
"215","Gerry Walsh",530,25
"216","Gunnar Weimar",535,5
"217","Sandra Toble",535,20
"218","Nelly Fleming",535,6
"219","Erik Warsky",537,4
"220","Olov Rasmussen",399,21
"221","Gunnar Weimar",546,7
"222","Sissy Welch",548,9
"223","Erik Warsky",552,21
"224","Olov Rasmussen",552,24
"225","Olga Treischl",552,22
"226","Sami Carlson",554,21
"227","Nelly Fleming",563,16
"228","Gerry Walsh",564,9
"229","Gerry Walsh",407,24
"230","Olga Treischl",572,6
"231","Sissy Welch",575,11
"232","Mike Friedman",575,14
"233","Gerry Walsh",NA,19
"234","Mike Friedman",575,24
"235","Gerry Walsh",576,9
"236","Gerry Walsh",410,7
"237","Olga Treischl",577,22
"238","Erik Warsky",580,16
"239","Sissy Welch",582,13
"240","Gunnar Weimar",590,14
"241","Olov Rasmussen",417,19
"242","Sissy Welch",597,13
"243","Sissy Welch",622,15
"244","Sissy Welch",624,20
"245","Gerry Walsh",648,16
"246","Sami Carlson",657,8
"247","Viky Moreux",436,9
"248","Olov Rasmussen",436,6
"249","Nelly Fleming",705,12
"250","Gunnar Weimar",724,21
"251","Viky Moreux",733,10
"252","Olga Treischl",740,25
"253","Gunnar Weimar",452,11
"254","Gerry Walsh",453,22
"255","Olga Treischl",454,13
"256","Olov Rasmussen",455,11
"257","Erik Warsky",799,7
"258","Gerry Walsh",459,18
"259","Sandra Toble",459,18
"260","Gunnar Weimar",467,23
"261","Olov Rasmussen",470,21
"262","Viky Moreux",375,11
"263","Sami Carlson",378,4
"264","Sissy Welch",471,5
"265","Olga Treischl",475,21
"266","Erik Warsky",480,20
"267","Gunnar Weimar",485,17
"268","Sami Carlson",485,4
"269","Nelly Fleming",485,11
"270","Sissy Welch",486,16
"271","Sissy Welch",382,21
"272","Sami Carlson",491,17
"273","Mike Friedman",492,20
"274","Erik Warsky",499,7
"275","Nelly Fleming",500,3
"276","Olov Rasmussen",517,12
"277","Erik Warsky",525,10
"278","Mike Friedman",535,17
"279","Sami Carlson",536,16
"280","Erik Warsky",544,8
"281","Mike Friedman",548,6
"282","Mike Friedman",552,24
"283","Nelly Fleming",403,24
"284","Gunnar Weimar",556,17
"285","Gunnar Weimar",560,20
"286","Olov Rasmussen",567,14
"287","Gerry Walsh",575,23
"288","Sami Carlson",576,17
"289","Gerry Walsh",576,4
"290","Gerry Walsh",576,23
"291","Sissy Welch",576,21
"292","Sissy Welch",576,6
"293","Erik Warsky",576,24
"294","Erik Warsky",580,18
"295","Sami Carlson",582,25
"296","Sami Carlson",582,17
"297","Gerry Walsh",583,21
"298","Sissy Welch",584,3
"299","Sami Carlson",595,16
"300","Viky Moreux",597,16
"301","Erik Warsky",597,3
"302","Sami Carlson",597,10
"303","Sissy Welch",599,15
"304","Sandra Toble",599,6
"305","Olov Rasmussen",599,22
"306","Mike Friedman",599,22
"307","Olov Rasmussen",419,15
"308","Mike Friedman",620,16
"309","Sissy Welch",633,14
"310","Gunnar Weimar",633,8
"311","Sissy Welch",633,14
"312","Gerry Walsh",633,5
"313","Gunnar Weimar",640,11
"314","Erik Warsky",657,15
"315","Sandra Toble",367,6
"316","Gerry Walsh",434,18
"317","Gunnar Weimar",679,16
"318","Viky Moreux",436,9
"319","Sissy Welch",438,10
"320","Sandra Toble",705,3
"321","Erik Warsky",740,20
"322","Mike Friedman",740,14
"323","Sandra Toble",740,9
"324","Gerry Walsh",740,21
"325","Viky Moreux",740,24
"326","Gunnar Weimar",740,5
"327","Gunnar Weimar",769,18
"328","Olov Rasmussen",769,3
"329","Sissy Welch",769,12
"330","Gunnar Weimar",769,9
"331","Sami Carlson",452,11
"332","Nelly Fleming",452,3
"333","Gunnar Weimar",454,NA
"334","Mike Friedman",460,20
"335","Viky Moreux",460,5
"336","Erik Warsky",467,21
"337","Sandra Toble",470,13
"338","Olov Rasmussen",470,20
"339","Viky Moreux",474,15
"340","Gerry Walsh",485,5
"341","Gunnar Weimar",492,9
"342","Viky Moreux",492,14
"343","Erik Warsky",506,4
"344","Viky Moreux",512,19
"345","Erik Warsky",525,16
"346","Olga Treischl",545,7
"347","Sami Carlson",545,15
"348","Gunnar Weimar",548,10
"349","Mike Friedman",548,9
"350","Nelly Fleming",337,22
"351","Sissy Welch",554,11
"352","Sami Carlson",554,6
"353","Gunnar Weimar",556,12
"354","Nelly Fleming",560,20
"355","Gerry Walsh",564,24
"356","Olga Treischl",566,8
"357","Gunnar Weimar",407,14
"358","Erik Warsky",567,18
"359","Nelly Fleming",572,10
"360","Nelly Fleming",575,8
"361","Sissy Welch",575,8
"362","Olov Rasmussen",575,22
"363","Nelly Fleming",576,13
"364","Nelly Fleming",577,5
"365","Gerry Walsh",578,22
"366","Mike Friedman",583,7
"367","Sandra Toble",418,23
"368","Olov Rasmussen",591,4
"369","Sami Carlson",597,15
"370","Olga Treischl",600,5
"371","Sandra Toble",600,21
"372","Gunnar Weimar",600,24
"373","Sami Carlson",601,4
"374","Gerry Walsh",421,23
"375","Gunnar Weimar",620,3
"376","Olov Rasmussen",633,15
"377","Sandra Toble",635,23
"378","Nelly Fleming",641,23
"379","Olga Treischl",426,9
"380","Gunnar Weimar",657,14
"381","Olga Treischl",657,14
"382","Sandra Toble",438,5
"383","Gunnar Weimar",724,16
"384","Olga Treischl",733,17
"385","Viky Moreux",733,17
"386","Gerry Walsh",740,21
"387","Erik Warsky",449,5
"388","Erik Warsky",450,5
"389","Gerry Walsh",452,20
"390","Viky Moreux",814,7
"391","Sandra Toble",468,15
"392","Sandra Toble",468,17
"393","Nelly Fleming",468,16
"394","Erik Warsky",470,16
"395","Nelly Fleming",470,25
"396","Gunnar Weimar",470,22
"397","Mike Friedman",470,5
"398","Gunnar Weimar",377,4
"399","Gerry Walsh",478,9
"400","Erik Warsky",485,19
"401","Olov Rasmussen",485,13
"402","Gerry Walsh",485,7
"403","Mike Friedman",487,5
"404","Olov Rasmussen",487,16
"405","Sissy Welch",499,7
"406","Sissy Welch",499,14
"407","Olga Treischl",509,10
"408","Sissy Welch",525,14
"409","Olga Treischl",525,10
"410","Viky Moreux",526,10
"411","Sami Carlson",533,20
"412","Sami Carlson",535,9
"413","Gerry Walsh",544,11
"414","Erik Warsky",544,10
"415","Erik Warsky",397,4
"416","Olga Treischl",399,21
"417","Erik Warsky",545,11
"418","Gunnar Weimar",545,10
"419","Gerry Walsh",545,14
"420","Nelly Fleming",548,8
"421","Olga Treischl",548,12
"422","Sami Carlson",548,14
"423","Nelly Fleming",548,14
"424","Erik Warsky",548,20
"425","Gerry Walsh",404,14
"426","Viky Moreux",554,18
"427","Erik Warsky",562,19
"428","Erik Warsky",566,11
"429","Sissy Welch",567,22
"430","Sissy Welch",567,16
"431","Sami Carlson",575,23
"432","Sandra Toble",576,9
"433","Olov Rasmussen",580,19
"434","Olov Rasmussen",580,18
"435","Sandra Toble",NA,18
"436","Gerry Walsh",591,15
"437","Sissy Welch",597,17
"438","Nelly Fleming",599,16
"439","Olga Treischl",599,9
"440","Mike Friedman",599,11
"441","Erik Warsky",599,9
"442","Nelly Fleming",599,21
"443","Sami Carlson",603,24
"444","Gerry Walsh",608,25
"445","Erik Warsky",620,16
"446","Gerry Walsh",622,22
"447","Olov Rasmussen",642,19
"448","Olov Rasmussen",426,12
"449","Mike Friedman",657,10
"450","Sissy Welch",361,19
"451","Olga Treischl",363,7
"452","Mike Friedman",434,3
"453","Gerry Walsh",682,NA
"454","Olov Rasmussen",682,7
"455","Gunnar Weimar",438,7
"456","Sandra Toble",NA,5
"457","Sandra Toble",445,24
"458","Mike Friedman",739,4
"459","Sandra Toble",740,10
"460","Sami Carlson",757,9
"461","Sandra Toble",769,23
"462","Mike Friedman",769,12
"463","Gunnar Weimar",NA,23
"464","Mike Friedman",769,18
"465","Viky Moreux",452,7
"466","Nelly Fleming",452,25
"467","Olga Treischl",453,20
"468","Erik Warsky",777,12
"469","Mike Friedman",780,18
"470","Sissy Welch",453,18
"471","Sami Carlson",453,22
"472","Mike Friedman",799,4
"473","Gunnar Weimar",456,17
"474","Sissy Welch",462,16
"475","Gerry Walsh",470,14
"476","Sandra Toble",470,22
"477","Mike Friedman",482,17
"478","Olov Rasmussen",482,9
"479","Mike Friedman",483,3
"480","Olga Treischl",486,8
"481","Gerry Walsh",381,19
"482","Sissy Welch",382,23
"483","Gunnar Weimar",384,23
"484","Olga Treischl",1043,10
"485","Gerry Walsh",491,10
"486","Gerry Walsh",492,20
"487","Olov Rasmussen",492,17
"488","Olga Treischl",498,24
"489","Mike Friedman",388,18
"490","Gerry Walsh",394,6
"491","Erik Warsky",394,19
"492","Erik Warsky",525,11
"493","Nelly Fleming",526,18
"494","Sandra Toble",395,13
"495","Sandra Toble",532,21
"496","Erik Warsky",544,14
"497","Gunnar Weimar",399,21
"498","Viky Moreux",401,8
"499","Olov Rasmussen",545,15
"500","Sandra Toble",545,5
"501","Gerry Walsh",547,22
"502","Gerry Walsh",548,11
"503","Gunnar Weimar",554,10
"504","Nelly Fleming",554,9
"505","Olov Rasmussen",556,4
"506","Olov Rasmussen",564,4
"507","Sandra Toble",407,11
"508","Gunnar Weimar",575,12
"509","Sandra Toble",413,11
"510","Erik Warsky",577,13
"511","Gerry Walsh",577,18
"512","Gunnar Weimar",580,16
"513","Olga Treischl",580,6
"514","Olga Treischl",587,15
"515","Olga Treischl",596,4
"516","Nelly Fleming",597,11
"517","Sandra Toble",599,6
"518","Viky Moreux",599,13
"519","Sandra Toble",599,25
"520","Sami Carlson",603,10
"521","Gerry Walsh",605,17
"522","Olga Treischl",605,21
"523","Gunnar Weimar",606,14
"524","Sandra Toble",614,20
"525","Olga Treischl",620,9
"526","Sissy Welch",620,15
"527","Sami Carlson",620,3
"528","Erik Warsky",620,9
"529","Sissy Welch",622,10
"530","Olov Rasmussen",623,22
"531","Viky Moreux",423,6
"532","Gunnar Weimar",423,7
"533","Gerry Walsh",633,20
"534","Erik Warsky",642,12
"535","Gunnar Weimar",642,3
"536","Erik Warsky",646,12
"537","Gerry Walsh",646,22
"538","Nelly Fleming",646,10
"539","Olga Treischl",646,9
"540","Viky Moreux",657,18
"541","Gerry Walsh",664,13
"542","Olov Rasmussen",357,14
"543","Sandra Toble",358,4
"544","Mike Friedman",667,13
"545","Sissy Welch",672,21
"546","Sami Carlson",682,10
"547","Sissy Welch",436,11
"548","Viky Moreux",688,16
"549","Sandra Toble",438,11
"550","Olga Treischl",724,9
"551","Erik Warsky",447,25
"552","Nelly Fleming",448,19
"553","Nelly Fleming",448,4
"554","Gunnar Weimar",448,6
"555","Olov Rasmussen",NA,15
"556","Olga Treischl",451,22
"557","Gunnar Weimar",768,12
"558","Olga Treischl",769,13
"559","Olga Treischl",769,22
"560","Nelly Fleming",769,20
"561","Erik Warsky",452,15
"562","Olov Rasmussen",452,11
"563","Erik Warsky",453,22
"564","Gerry Walsh",783,22
"565","Nelly Fleming",453,20
"566","Sami Carlson",456,16
"567","Mike Friedman",799,21
"568","Olga Treischl",828,18
"569","Mike Friedman",828,7
"570","Sandra Toble",470,10
"571","Sandra Toble",470,13
"572","Viky Moreux",373,13
"573","Sami Carlson",478,20
"574","Erik Warsky",479,18
"575","Erik Warsky",480,14
"576","Viky Moreux",482,24
"577","Sami Carlson",482,8
"578","Gerry Walsh",486,18
"579","Olov Rasmussen",486,15
"580","Mike Friedman",486,23
"581","Olga Treischl",385,18
"582","Sami Carlson",499,9
"583","Erik Warsky",393,8
"584","Nelly Fleming",393,4
"585","Nelly Fleming",504,17
"586","Mike Friedman",504,20
"587","Sissy Welch",504,7
"588","Olga Treischl",518,20
"589","Olga Treischl",394,8
"590","Nelly Fleming",529,14
"591","Gerry Walsh",397,3
"592","Olov Rasmussen",539,17
"593","Erik Warsky",545,10
"594","Olga Treischl",545,23
"595","Sandra Toble",545,21
"596","Mike Friedman",554,22
"597","Viky Moreux",558,8
"598","Viky Moreux",566,19
"599","Mike Friedman",572,14
"600","Olov Rasmussen",574,21
"601","Sami Carlson",577,22
"602","Olga Treischl",577,12
"603","Olov Rasmussen",579,14
"604","Gunnar Weimar",580,17
"605","Olga Treischl",581,23
"606","Gerry Walsh",586,16
"607","Sami Carlson",587,24
"608","Sissy Welch",417,12
"609","Olov Rasmussen",596,19
"610","Gerry Walsh",597,23
"611","Gunnar Weimar",597,9
"612","Nelly Fleming",599,10
"613","Nelly Fleming",599,13
"614","Gerry Walsh",599,21
"615","Erik Warsky",599,25
"616","Sissy Welch",600,23
"617","Olov Rasmussen",420,21
"618","Olov Rasmussen",603,15
"619","Sissy Welch",603,22
"620","Nelly Fleming",604,18
"621","Olov Rasmussen",604,12
"622","Sami Carlson",605,9
"623","Gerry Walsh",609,16
"624","Mike Friedman",618,23
"625","Viky Moreux",620,24
"626","Erik Warsky",620,14
"627","Sissy Welch",621,18
"628","Viky Moreux",622,5
"629","Sandra Toble",622,23
"630","Gunnar Weimar",623,21
"631","Sandra Toble",627,5
"632","Nelly Fleming",635,20
"633","Gunnar Weimar",642,9
"634","Olga Treischl",642,17
"635","Viky Moreux",646,24
"636","Gunnar Weimar",646,10
"637","Erik Warsky",657,14
"638","Gunnar Weimar",657,23
"639","Sandra Toble",430,4
"640","Viky Moreux",432,21
"641","Sissy Welch",659,22
"642","Sissy Welch",660,4
"643","Sissy Welch",434,16
"644","Viky Moreux",435,11
"645","Nelly Fleming",439,21
"646","Mike Friedman",439,9
"647","Sami Carlson",442,22
"648","Sami Carlson",445,24
"649","Olov Rasmussen",447,4
"650","Sissy Welch",448,25
"651","Nelly Fleming",752,9
"652","Sissy Welch",760,11
"653","Gerry Walsh",760,12
"654","Erik Warsky",371,17
"655","Olga Treischl",451,17
"656","Viky Moreux",769,20
"657","Sandra Toble",769,18
"658","Mike Friedman",769,24
"659","Viky Moreux",769,19
"660","Olga Treischl",452,5
"661","Sissy Welch",787,7
"662","Sami Carlson",456,12
"663","Sami Carlson",456,NA
"664","Erik Warsky",799,17
"665","Mike Friedman",799,6
"666","Gerry Walsh",814,12
"667","Viky Moreux",828,13
"668","Sami Carlson",846,20
"669","Nelly Fleming",468,9
"670","Gunnar Weimar",858,11
"671","Sami Carlson",470,5
"672","Sandra Toble",470,18
"673","Sami Carlson",486,16
"674","Gunnar Weimar",487,7
"675","Olov Rasmussen",487,21
"676","Sandra Toble",487,15
"677","Olov Rasmussen",490,18
"678","Sissy Welch",499,5
"679","Erik Warsky",504,19
"680","Erik Warsky",504,17
"681","Sissy Welch",512,7
"682","Olga Treischl",394,12
"683","Nelly Fleming",397,8
"684","Viky Moreux",397,16
"685","Viky Moreux",540,16
"686","Viky Moreux",401,10
"687","Olov Rasmussen",545,12
"688","Gerry Walsh",548,4
"689","Sandra Toble",552,19
"690","Sandra Toble",564,6
"691","Erik Warsky",565,9
"692","Viky Moreux",566,14
"693","Sami Carlson",574,9
"694","Sissy Welch",577,13
"695","Erik Warsky",583,15
"696","Nelly Fleming",586,21
"697","Nelly Fleming",597,17
"698","Sissy Welch",599,20
"699","Nelly Fleming",599,10
"700","Nelly Fleming",599,10
"701","Mike Friedman",600,13
"702","Nelly Fleming",600,18
"703","Gunnar Weimar",419,4
"704","Sissy Welch",603,13
"705","Olga Treischl",603,4
"706","Nelly Fleming",605,6
"707","Gunnar Weimar",612,15
"708","Nelly Fleming",614,16
"709","Gerry Walsh",618,5
"710","Sissy Welch",620,17
"711","Gerry Walsh",620,13
"712","Sami Carlson",620,13
"713","Olga Treischl",622,7
"714","Sandra Toble",622,19
"715","Gunnar Weimar",622,14
"716","Sandra Toble",628,22
"717","Mike Friedman",640,22
"718","Sami Carlson",642,19
"719","Erik Warsky",642,15
"720","Viky Moreux",642,7
"721","Mike Friedman",642,24
"722","Gunnar Weimar",427,15
"723","Sami Carlson",646,4
"724","Erik Warsky",648,13
"725","Erik Warsky",648,3
"726","Sissy Welch",432,4
"727","Gerry Walsh",664,15
"728","Sandra Toble",362,11
"729","Sami Carlson",682,14
"730","Gunnar Weimar",682,4
"731","Mike Friedman",439,17
"732","Sissy Welch",440,23
"733","Sandra Toble",724,4
"734","Viky Moreux",447,20
"735","Sandra Toble",449,14
"736","Erik Warsky",752,13
"737","Nelly Fleming",760,20
"738","Sissy Welch",760,15
"739","Nelly Fleming",760,12
"740","Sami Carlson",760,18
"741","Olov Rasmussen",769,15
"742","Gunnar Weimar",769,8
"743","Olga Treischl",790,11
"744","Sissy Welch",796,19
"745","Nelly Fleming",799,13
"746","Olga Treischl",799,24
"747","Sami Carlson",799,6
"748","Olga Treischl",458,12
"749","Olov Rasmussen",814,20
"750","Sandra Toble",820,18
"751","Nelly Fleming",462,19
"752","Gerry Walsh",828,22
"753","Gerry Walsh",468,NA
"754","Sissy Welch",470,6
"755","Sissy Welch",476,14
"756","Olov Rasmussen",480,15
"757","Sami Carlson",482,10
"758","Sissy Welch",486,6
"759","Sissy Welch",486,6
"760","Gerry Walsh",1011,16
"761","Erik Warsky",383,22
"762","Nelly Fleming",487,17
"763","Sandra Toble",487,NA
"764","Olga Treischl",487,20
"765","Erik Warsky",489,18
"766","Viky Moreux",496,6
"767","Sandra Toble",504,7
"768","Mike Friedman",504,12
"769","Viky Moreux",504,7
"770","Nelly Fleming",508,15
"771","Gerry Walsh",509,23
"772","Olga Treischl",514,18
"773","Viky Moreux",514,8
"774","Sami Carlson",515,6
"775","Gunnar Weimar",518,24
"776","Olga Treischl",397,6
"777","Olov Rasmussen",553,15
"778","Sami Carlson",566,23
"779","Erik Warsky",566,12
"780","Sissy Welch",407,19
"781","Mike Friedman",412,18
"782","Viky Moreux",413,20
"783","Erik Warsky",583,21
"784","Olov Rasmussen",586,21
"785","Erik Warsky",586,18
"786","Olga Treischl",596,7
"787","Olga Treischl",596,23
"788","Viky Moreux",597,12
"789","Olov Rasmussen",603,12
"790","Olov Rasmussen",608,8
"791","Mike Friedman",620,16
"792","Mike Friedman",620,12
"793","Sandra Toble",622,24
"794","Olov Rasmussen",622,9
"795","Olga Treischl",622,12
"796","Erik Warsky",421,10
"797","Sandra Toble",627,8
"798","Gerry Walsh",628,17
"799","Mike Friedman",642,6
"800","Nelly Fleming",426,12
"801","Mike Friedman",429,5
"802","Nelly Fleming",646,20
"803","Mike Friedman",650,18
"804","Viky Moreux",432,5
"805","Mike Friedman",432,21
"806","Sissy Welch",432,17
"807","Sissy Welch",666,15
"808","Sissy Welch",667,15
"809","Nelly Fleming",673,12
"810","Gunnar Weimar",675,18
"811","Mike Friedman",682,13
"812","Mike Friedman",435,24
"813","Sissy Welch",704,13
"814","Gerry Walsh",439,15
"815","Olov Rasmussen",707,22
"816","Nelly Fleming",737,5
"817","Viky Moreux",749,11
"818","Olov Rasmussen",752,11
"819","Gunnar Weimar",760,12
"820","Nelly Fleming",760,21
"821","Sissy Welch",761,7
"822","Olov Rasmussen",763,20
"823","Olga Treischl",452,19
"824","Sissy Welch",452,9
"825","Sandra Toble",453,23
"826","Nelly Fleming",796,20
"827","Olga Treischl",799,9
"828","Sami Carlson",799,5
"829","Erik Warsky",799,24
"830","Sami Carlson",459,5
"831","Olov Rasmussen",814,8
"832","Olov Rasmussen",462,20
"833","Erik Warsky",835,24
"834","Gerry Walsh",464,8
"835","Viky Moreux",470,8
"836","Sissy Welch",470,18
"837","Sami Carlson",379,6
"838","Mike Friedman",893,17
"839","Gunnar Weimar",473,11
"840","Viky Moreux",480,23
"841","Sami Carlson",480,11
"842","Gerry Walsh",977,8
"843","Sandra Toble",1012,6
"844","Viky Moreux",487,18
"845","Sandra Toble",487,22
"846","Sami Carlson",1026,21
"847","Sami Carlson",490,21
"848","Sissy Welch",490,24
"849","Olov Rasmussen",490,3
"850","Sami Carlson",1071,12
"851","Sami Carlson",1166,7
"852","Olov Rasmussen",504,24
"853","Sissy Welch",504,19
"854","Erik Warsky",504,5
"855","Sami Carlson",506,6
"856","Mike Friedman",507,24
"857","Sissy Welch",508,9
"858","Gerry Walsh",512,12
"859","Sandra Toble",394,15
"860","Viky Moreux",524,16
"861","Nelly Fleming",526,23
"862","Mike Friedman",534,12
"863","Olov Rasmussen",537,11
"864","Sissy Welch",540,14
"865","Sandra Toble",541,15
"866","Viky Moreux",544,13
"867","Sami Carlson",547,13
"868","Mike Friedman",552,22
"869","Sandra Toble",353,25
"870","Mike Friedman",564,17
"871","Gunnar Weimar",565,22
"872","Sandra Toble",566,15
"873","Viky Moreux",407,9
"874","Olga Treischl",583,11
"875","Mike Friedman",586,11
"876","Erik Warsky",591,22
"877","Sandra Toble",591,14
"878","Gunnar Weimar",593,4
"879","Sissy Welch",598,4
"880","Sami Carlson",598,22
"881","Olga Treischl",603,19
"882","Mike Friedman",605,15
"883","Mike Friedman",605,10
"884","Viky Moreux",608,20
"885","Gerry Walsh",609,7
"886","Sandra Toble",612,10
"887","Olov Rasmussen",619,10
"888","Sissy Welch",620,19
"889","Gerry Walsh",620,13
"890","Gerry Walsh",622,14
"891","Mike Friedman",622,5
"892","Sissy Welch",421,5
"893","Gunnar Weimar",625,13
"894","Sami Carlson",629,14
"895","Olov Rasmussen",632,5
"896","Gunnar Weimar",639,22
"897","Erik Warsky",642,25
